Architecture,Memory_MB,Workers,Stage,Example,Executions,Compute_Time_s,Energy_J,Cost_dollars
ARM,1024,10,stage,titanic,9,20.629433523284064,7140.126140564017,2.751966432006094
ARM,1024,12,stage,titanic,9,16.504764828417038,7156.9881679773325,2.6420827537329994
ARM,1024,16,stage,titanic,8,11.78282055258751,7433.196524925531,2.5149252187442777
ARM,1024,20,stage,titanic,9,9.13997180726793,7751.553341309229,2.4385444781790837
ARM,1024,24,stage,titanic,9,7.3711497485637665,7922.141279804706,2.3599473035001752
ARM,1024,28,stage,titanic,9,6.262075244434296,8554.230767623583,2.339010345301098
ARM,1024,4,stage0,video,8,88.12997603416443,8435.131574887038,4.702615521183014
ARM,1024,5,stage0,video,13,87.79453479326688,10492.939544929906,5.8558954707109
ARM,1024,6,stage0,video,12,88.07013710339864,12607.954306024312,7.049133773756027
ARM,1024,7,stage0,video,12,87.93026987711589,14637.40568083326,8.210928601125081
ARM,1024,8,stage0,video,11,87.98323178291321,16751.329274715077,9.389570495872498
ARM,1024,9,stage0,video,11,87.65903741663152,18800.704475400667,10.52434403224078
ARM,1024,10,stage0,video,13,88.02662776066707,20989.76175857507,11.742752143272986
ARM,1024,12,stage0,video,15,87.695627450943,25129.14217464447,14.038316042346954
ARM,1024,16,stage0,video,14,87.87603783607483,33518.89855094637,18.75626151573181
ARM,1024,20,stage0,video,15,87.69560852050782,41796.11755741437,23.397188353271485
ARM,1024,24,stage0,video,13,87.49807893312894,49816.843691341695,28.013384951230563
ARM,1024,28,stage0,video,15,87.79853088061014,58630.803339656195,32.794507254525506
ARM,1024,4,stage2,ml,12,2.755187837483513,729.5553501704826,0.14701682300812025
ARM,1024,5,stage2,ml,12,2.804299137769404,943.8982910919065,0.1870467524892193
ARM,1024,6,stage2,ml,12,2.8358766622114087,1170.0208548785097,0.22698356804340114
ARM,1024,7,stage2,ml,12,2.7583558145777323,1364.7369635094403,0.2575752659652686
ARM,1024,8,stage2,ml,24,2.7846964235584193,1587.6473657366637,0.2971828023221545
ARM,1024,9,stage2,ml,24,2.8152090246953727,1827.3832360540405,0.3379939955049265
ARM,1024,10,stage2,ml,24,2.867930978812464,2122.989811061109,0.3825819925735826
ARM,1024,12,stage2,ml,12,2.8253225962206874,2589.7157612595965,0.4522776412030076
ARM,1024,16,stage2,ml,18,2.825107190217,3692.46822722016,0.6029908786799164
ARM,1024,20,stage2,ml,20,3.3945270317109166,6033.613792307878,0.9056598120604724
ARM,1024,24,stage2,ml,17,3.0279756238767215,6756.823995256543,0.9694366757403712
ARM,1024,28,stage2,ml,20,2.8178724967827806,7614.609249877403,1.052531734998304
x86,512,12,stage,titanic,17,37.63165360922907,17196.51526289926,3.7639179939950917
x86,512,16,stage,titanic,17,26.614789976793176,17569.59178922078,3.5493483913051382
x86,512,20,stage,titanic,17,20.419353213029748,17904.63805969561,3.4039061806120596
x86,512,24,stage,titanic,17,16.204002355828006,18146.65011032203,3.2414486312598343
x86,512,28,stage,titanic,17,13.64897928869023,19196.566673418354,3.185398786394526
x86,1024,4,stage3,ml,10,1.8791247606277466,1376.7492730131148,0.12530003903865813
x86,1024,5,stage3,ml,10,1.9093313932418823,1738.6161548936368,0.1591427716267109
x86,1024,6,stage3,ml,10,1.9673075199127197,2072.279837612629,0.1967700981416702
x86,1024,7,stage3,ml,10,2.039276623725891,2418.843013453245,0.23796318922257423
x86,1024,8,stage3,ml,10,2.0458600759506225,2836.8896447830202,0.27283589972877503
x86,1024,9,stage3,ml,10,2.151179575920105,3148.8377107372285,0.32274147177529333
x86,1024,10,stage3,ml,10,2.2297837495803834,3419.9091055774693,0.3717049510550499
x86,1024,12,stage3,ml,10,2.2791232109069823,4215.667854083062,0.4559158071098327
x86,1024,16,stage3,ml,10,2.479843187332153,6291.152457771302,0.6614237749252319
x86,1024,20,stage3,ml,10,2.5821465730667112,7973.899940047266,0.8608876674604417
x86,1024,24,stage3,ml,10,2.810562539100647,9527.816267326354,1.1244498606433866
x86,1024,28,stage3,ml,10,2.9133142471313476,11730.067320925711,1.359818557991028
x86,1024,4,stage1,video,10,9.40350604057312,2950.4529305350784,0.6270257827854158
x86,1024,5,stage1,video,9,6.786352909935845,2928.206512465742,0.5656425150431527
x86,1024,6,stage1,video,9,5.642215154789112,3112.473955075211,0.5643343597820071
x86,1024,7,stage1,video,9,4.835886240005493,3339.9350942691162,0.564299565346241
x86,1024,8,stage1,video,10,4.240519177913666,3511.1389791953566,0.5655156375665665
x86,1024,9,stage1,video,11,3.7602428378480854,3707.0519368004793,0.5641492329623483
x86,1024,10,stage1,video,12,3.3650089065233866,3917.803363211552,0.5609469847174485
x86,1024,12,stage1,video,11,2.831050253275669,4337.146965315342,0.5663232926652648
x86,1024,16,stage1,video,12,2.1242629711826644,5095.0442083835605,0.5665834196738403
x86,1024,20,stage1,video,13,1.6296877136597268,5672.0761014987875,0.5433378837341529
x86,1024,24,stage1,video,12,1.4546859396828546,6671.2321162205935,0.5819907507483165
x86,1024,28,stage1,video,14,1.3103532377554445,7797.598183864695,0.6116204772547313
x86,1024,4,stage3,video,11,5.873766812411222e-06,1541.0263947105404,3.916627710515803e-07
x86,1024,5,stage3,video,11,6.849115545099432e-06,1875.1534313112497,5.708737806840376e-07
x86,1024,6,stage3,video,11,6.328929554332387e-06,2417.6680429816242,6.330195340243253e-07
x86,1024,7,stage3,video,11,6.65404579856179e-06,2633.1207493621114,7.764606042341753e-07
x86,1024,8,stage3,video,11,7.455999200994318e-06,2988.536677231789,9.943320534446024e-07
x86,1024,9,stage3,video,11,5.7220458984375e-06,3215.091954712271,8.584785461425782e-07
x86,1024,10,stage3,video,11,6.979162042791193e-06,3671.9209944248205,1.163426312533292e-06
x86,1024,12,stage3,video,11,6.870789961381392e-06,4675.402944867611,1.3744328238747338e-06
x86,1024,16,stage3,video,11,6.068836558948863e-06,5889.06663980484,1.6186800870028409e-06
x86,1024,20,stage3,video,11,5.526976151899858e-06,6830.462728250027,1.842693849043413e-06
x86,1024,24,stage3,video,11,5.74372031471946e-06,8858.013319845199,2.2979476235129616e-06
x86,1024,28,stage3,video,11,5.050138993696733e-06,10099.343918538094,2.3572028766978873e-06
ARM,512,4,stage1,ml,16,68.935010501345,4120.811108032829,1.8391860801758846
ARM,512,5,stage1,ml,16,92.44330990816647,6799.328721409132,3.0829843854373515
ARM,512,6,stage1,ml,16,92.4109758365981,8120.160791788412,3.6982872529806556
ARM,512,7,stage1,ml,16,91.44922753230522,9379.79430744306,4.26976443348333
ARM,512,8,stage1,ml,16,91.82554010154777,10748.576990954192,4.899810819818589
ARM,512,9,stage1,ml,18,91.09861209136523,12067.015218885897,5.468649683844655
ARM,512,10,stage1,ml,16,92.0771535578406,13533.211610922288,6.141546142307968
ARM,512,12,stage1,ml,18,92.39168540014316,16179.077989344882,7.395030499427458
ARM,512,16,stage1,ml,16,92.03380763636211,21505.429276170522,9.821847950952565
ARM,512,20,stage1,ml,20,92.73409325815673,27085.356729544455,12.370728040638108
ARM,512,24,stage1,ml,16,91.47921886127317,32069.327595071343,14.643993355312606
ARM,512,28,stage1,ml,16,91.95458778776738,37655.3665485368,17.173438815243433
x86,512,4,stage0,video,11,5.223534323952415e-06,1266.9822819137573,1.7415263436057354e-07
x86,512,5,stage0,video,11,5.570324984463778e-06,1618.5025604367254,2.3214329372752795e-07
x86,512,6,stage0,video,11,5.223534323952415e-06,1974.9542529916764,2.612289515408603e-07
x86,512,7,stage0,video,11,5.9604644775390625e-06,2342.2175797039267,3.477632999420166e-07
x86,512,8,stage0,video,11,4.898418079723012e-06,2496.58869161129,3.266265175559304e-07
x86,512,9,stage0,video,11,5.310231989080256e-06,3077.470671812296,3.9834705266085544e-07
x86,512,10,stage0,video,11,5.310231989080256e-06,3050.156526875496,4.426078362898394e-07
x86,512,12,stage0,video,11,5.288557572798296e-06,4076.2649007439613,5.289615284312856e-07
x86,512,16,stage0,video,11,6.242231889204546e-06,5594.513922176361,8.324640447443183e-07
x86,512,20,stage0,video,11,5.635348233309659e-06,6940.995742809773,9.394125504927202e-07
x86,512,24,stage0,video,11,5.331906405362216e-06,7722.32967897892,1.0665945573286578e-06
x86,512,28,stage0,video,11,4.681673916903409e-06,8814.430599164963,1.0926090587269177e-06
x86,2048,4,stage1,ml,13,38.114929341352905,15534.204771703571,5.0830069769628246
x86,2048,5,stage1,ml,14,37.72668161392212,19376.28108485903,6.289037825040817
x86,2048,6,stage1,ml,13,37.13630026731736,22713.358941678816,7.428745505474166
x86,2048,7,stage1,ml,14,36.701650186460846,26257.60906719293,8.565431120516234
x86,2048,8,stage1,ml,15,35.92267435590426,29870.253463607787,9.581295704206784
x86,2048,9,stage1,ml,14,35.30431202479771,33511.17859360576,10.593411866160801
x86,2048,10,stage1,ml,14,34.32678203923361,36539.675953711274,11.444549131880487
x86,2048,12,stage1,ml,15,33.84936047130161,44251.89433255894,13.542452137358348
x86,2048,16,stage1,ml,15,32.26052048802376,59053.67786076052,17.209052049131397
x86,2048,20,stage1,ml,15,31.315170685450237,73659.12514515145,20.880955813058222
x86,2048,24,stage1,ml,13,31.26378067334493,88158.55337496116,25.01602674358368
x86,2048,28,stage1,ml,14,30.762776808471095,103442.78560188685,28.717667406243937
x86,2048,4,stage3,video,8,8.761248409748077,4430.805740212202,1.1684000879240037
x86,2048,5,stage3,video,8,8.54958114027977,5362.043638449908,1.4252151760846379
x86,2048,6,stage3,video,8,8.115664720535278,6875.801950487494,1.6234575706958774
x86,2048,7,stage3,video,8,8.657639920711517,7936.561772318482,2.020520004695654
x86,2048,8,stage3,video,8,9.165204614400864,8888.45046238184,2.4445433747529988
x86,2048,9,stage3,video,8,8.756337136030197,10377.627165712416,2.627426521037221
x86,2048,10,stage3,video,8,8.839065700769424,11658.888478833436,2.9469445046365266
x86,2048,12,stage3,video,9,8.643209563361275,14045.88112203916,3.457975282109579
x86,2048,16,stage3,video,8,7.934614300727844,18207.86067018032,4.232640652580262
x86,2048,20,stage3,video,8,8.125719100236893,22933.78859491348,5.418229496037961
x86,2048,24,stage3,video,8,7.619480133056641,28372.08486136436,6.096803223266602
x86,2048,28,stage3,video,8,7.645205140113831,32773.31569731355,7.136951902399064
ARM,2048,4,stage2,video,11,0.3936150074005127,428.79632009918043,0.04200659358978271
ARM,2048,5,stage2,video,12,0.4835575540860494,663.7690611124038,0.06450657771507898
ARM,2048,6,stage2,video,10,0.31390703121821084,642.9639641928673,0.05025023755741119
ARM,2048,7,stage2,video,9,0.22380221836150638,663.0396919104787,0.04179730230119493
ARM,2048,8,stage2,video,13,0.3340630393761855,898.3752553646381,0.07130241512445303
ARM,2048,9,stage2,video,10,0.209484953350491,902.0340372669697,0.0503015269985199
ARM,2048,10,stage2,video,9,0.22564338578118218,1101.4230666187075,0.060201655326419405
ARM,2048,12,stage2,video,9,0.1323921040252403,1047.8171355658108,0.042386656024720935
ARM,2048,16,stage2,video,12,0.11679045607646306,1480.4435587128003,0.049855509889920546
ARM,2048,20,stage2,video,11,0.09396783221851696,1806.9272637724875,0.050141235271800644
ARM,2048,24,stage2,video,10,0.06693370838960012,1965.9281025397777,0.04285899215602875
ARM,2048,28,stage2,video,11,0.08470000384689925,2341.706581762704,0.06327429087378761
ARM,512,4,stage2,video,8,1.6696255877614021,458.6617612108588,0.04454561068147421
ARM,512,5,stage2,video,7,1.3815904004233224,549.54737484966,0.046076039854117797
ARM,512,6,stage2,video,7,0.9085012617565337,561.3215263758387,0.036358220495496474
ARM,512,7,stage2,video,8,0.771915682724544,621.2546775311232,0.03604074322640896
ARM,512,8,stage2,video,8,0.68055459856987,698.1911499977111,0.03631439337968826
ARM,512,9,stage2,video,8,0.5968646539582146,749.917993247509,0.03582978517711162
ARM,512,10,stage2,video,8,0.5373037070035934,829.8299351006746,0.03583815725713968
ARM,512,12,stage2,video,8,0.44654850165049237,951.8674262404442,0.035741742072105405
ARM,512,16,stage2,video,8,0.5406123772263527,1638.1250422343612,0.05769415289759636
ARM,512,20,stage2,video,7,0.3081545472145081,1616.750654739993,0.04110781659841537
ARM,512,24,stage2,video,7,0.22071904085931324,1870.340260888849,0.035332704060758856
ARM,512,28,stage2,video,8,0.21616090408393315,2181.749679133296,0.040370210446715356
ARM,2048,4,stage0,ml,19,1.6183748290960072,829.8257446589897,0.17271296176112585
ARM,2048,5,stage0,ml,19,1.5975279545890826,1035.3442053739784,0.2131102291421836
ARM,2048,6,stage0,ml,17,1.64102938574662,1281.5017941648227,0.2626959840703189
ARM,2048,7,stage0,ml,22,1.5854134282852486,1484.974197538617,0.296091811866553
ARM,2048,8,stage0,ml,10,1.5935732979187756,1686.0380248355125,0.34013228470778345
ARM,2048,9,stage0,ml,13,1.589306069915528,1884.755927373907,0.38162417350811656
ARM,2048,10,stage0,ml,15,1.636412412907308,2104.972483601007,0.43659483176366976
ARM,2048,12,stage0,ml,16,1.571419396068874,2483.9330989616524,0.5031056338454106
ARM,2048,16,stage0,ml,12,1.6196675901291198,3340.7974746777372,0.6914037008743186
ARM,2048,20,stage0,ml,24,1.5968638001106361,4181.63244968184,0.8520865237390354
ARM,2048,24,stage0,ml,15,1.666155479010006,5014.124669433688,1.066872676319687
ARM,2048,28,stage0,ml,14,1.604217365762221,6292.344277082239,1.1984145409190095
x86,2048,4,stage,titanic,10,46.18901126384735,17973.86514025712,6.159766542146683
x86,2048,5,stage,titanic,10,34.69965172290802,17596.50861051297,5.7844319422087676
x86,2048,6,stage,titanic,10,26.86113052368164,16946.95026795864,5.373300549957276
x86,2048,7,stage,titanic,10,22.659559093202862,16641.40750911117,5.288287901171684
x86,2048,8,stage,titanic,10,19.09744275510311,16675.558794661523,5.093669931641102
x86,2048,9,stage,titanic,10,16.33102467589908,16520.414782600164,4.900287264250278
x86,2048,10,stage,titanic,10,14.258900482654571,16536.688797316077,4.753917420917034
x86,2048,12,stage,titanic,10,11.048948832352956,16483.416944091798,4.420463448847771
x86,2048,16,stage,titanic,10,7.67659285068512,17311.530141560794,4.095001690269471
x86,2048,20,stage,titanic,10,5.867799799442292,18204.133354605674,3.912648906268121
x86,2048,24,stage,titanic,10,4.640465543667475,18648.910076221226,3.713114909420968
x86,2048,28,stage,titanic,10,3.9432177816118514,20596.92351185584,3.6810726634902964
x86,512,4,stage2,ml,10,5.994594120979309,1753.7318283486368,0.1998597679934502
x86,512,5,stage2,ml,10,5.95509970664978,2216.662289832115,0.2481787802746296
x86,512,6,stage2,ml,10,5.942490895589192,2681.0722533113953,0.2971839696884156
x86,512,7,stage2,ml,10,5.91912009034838,3137.541215651512,0.34535106167137625
x86,512,8,stage2,ml,10,6.033917912840844,3721.7665828726294,0.40234164642822745
x86,512,9,stage2,ml,10,5.935844935311211,4363.166262195349,0.44527740782237046
x86,512,10,stage2,ml,10,6.080690476894379,4823.469974085808,0.5068255512491465
x86,512,12,stage2,ml,10,5.90810754497846,5932.662598175048,0.5909289166487456
x86,512,16,stage2,ml,9,5.871593723694484,8418.565656549401,0.7830357389918964
x86,512,20,stage2,ml,9,5.807324229346381,10990.20357208702,0.9680809490320418
x86,512,24,stage2,ml,10,5.812359029054642,13975.146650559902,1.162704300172091
x86,512,28,stage2,ml,10,5.8268744673047745,17083.966892421726,1.3598759631795883
x86,2048,4,stage3,video,12,7.4108441670735674e-06,1495.7081577746073,9.88310178120931e-07
x86,2048,5,stage3,video,12,6.854534149169922e-06,1819.8674590376515,1.142650842666626e-06
x86,2048,6,stage3,video,12,6.238619486490886e-06,2266.160497270226,1.2479734420776369e-06
x86,2048,7,stage3,video,12,6.8942705790201826e-06,2830.2593630638225,1.6089848677317304e-06
x86,2048,8,stage3,video,12,8.006890614827475e-06,3313.5342589608827,2.135597864786784e-06
x86,2048,9,stage3,video,12,7.033348083496094e-06,3608.9056851643327,2.110426425933838e-06
x86,2048,10,stage3,video,12,7.987022399902344e-06,4473.223379809161,2.6628732681274416e-06
x86,2048,12,stage3,video,12,1.0172526041666666e-05,4448.897558829189,4.06982421875e-06
x86,2048,16,stage3,video,12,7.867813110351562e-06,6750.694096928438,4.197006225585937e-06
